sample_size,seed,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,positive_frequency_wilson95_low,positive_frequency_wilson95_high,comparison_sample_size,is_largest_sample_reference,abs_difference_vs_largest_mean_net_benefit_eur,abs_difference_vs_largest_probability_positive,abs_difference_vs_largest_p10_net_benefit_eur,abs_difference_vs_largest_worst_decile_mean_eur,abs_difference_vs_largest_p95_regret_eur,within_diagnostic_tolerances,metrics_evaluated
1000,20260726,combined_private,Envelope retrofit,False,True,26744.35985365562,10469.59168979614,-151273.70897970235,220876.81883688667,0.525,0.525,-203127.63587404718,71754.36228220782,239895.09766678247,0.307,83015.61005763827,1.502,0.525,0.7291631521679371,0.5104695916897961,0.5913714603502067,1,True,0.49401247046123636,0.555796191614486,25000,False,1017.5670609004774,0.008120000000000016,6895.007829025126,10467.801553267287,5227.753084567201,True,5
1000,20260726,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98498.72213586344,457252.0255137147,0.475,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2.168404344971009e-19,0.0038267584855551234,25000,False,0.0,0.0,0.0,0.0,21710.997489708185,True,5
2500,20260726,owner,Deep renovation + PV,False,True,-1998111.4918449086,-1970981.557180252,-2447586.1915599373,-1590416.4996616277,0.0,0.0,-2662676.959518094,1998111.4918449086,2601914.4974153317,0.0,725185.2604112278,5.3664,0.0,0.0,0.0,0.0,3,False,0.0,0.001534226061782461,25000,False,7649.710793531733,0.0,9602.532942514401,901.8230112171732,1100.232137318235,True,5
2500,20260726,owner,Envelope + heat pump,False,True,-841408.6351335115,-824216.7748780813,-1043246.2631606953,-650485.0678498198,0.0,0.0,-1152267.1004279738,841408.6351335115,1118061.678463602,0.0,338130.1032611671,2.54,0.0,0.0,0.0,0.0,3,False,0.0,0.001534226061782461,25000,False,2869.3777042857837,0.0,4902.099866278353,5113.672916890122,312.6385399498977,True,5
2500,20260726,owner,Envelope retrofit,False,True,-345453.83235013357,-339293.3024274054,-444478.22730968986,-254990.68278522475,0.0,0.0,-486750.39274199505,345453.83235013357,474700.7285738701,0.0,83664.03041798288,1.504,0.0,0.3509994763440066,0.16070669757259462,0.1790971608708104,2,False,0.0,0.001534226061782461,25000,False,1308.8672324083163,0.0,883.3593964437605,1609.753214753233,2626.342121845344,True,5
2500,20260726,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,0.0,0.001534226061782461,25000,False,0.0,0.0,0.0,0.0,0.0,True,5
2500,20260726,tenant,Deep renovation + PV,False,True,1325128.4899915357,1251560.294668785,782660.1225170615,1972454.614937708,1.0,1.0,657149.0952613499,0.0,0.0,1.0,725185.2604112278,5.3664,1.0,1.0,1.0,0.9999999999999999,1,True,0.9984657739382173,0.9999999999999999,25000,False,3411.4587431140244,0.0,14358.926386357169,12111.089175570873,0.0,True,5
2500,20260726,tenant,Envelope + heat pump,False,True,748912.5146295151,705894.9854908917,433998.507002268,1124604.5561802436,1.0,1.0,362177.72488079837,576215.9753620205,960044.3499415905,0.0,338130.1032611671,2.54,1.0,1.0,1.0,0.9999999999999999,1,False,0.9984657739382173,0.9999999999999999,25000,False,2006.4890382619342,0.0,6797.7957717674435,6967.0106704938225,11668.515049169073,True,5
2500,20260726,tenant,Envelope retrofit,False,True,373573.0106899623,353014.70850314246,221924.00637627582,555047.3524076442,1.0,1.0,186440.55603836072,951555.4793015734,1612226.6198811005,0.0,83664.03041798288,1.504,1.0,1.0,0.8530147085031424,0.9485551479760997,3,False,0.9984657739382173,0.9999999999999999,25000,False,951.6158071356476,0.0,4339.171589762147,3396.1367516460887,16631.114476550836,True,5
2500,20260726,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1325128.4899915357,2242422.878985301,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,0.0,0.001534226061782461,25000,False,0.0,0.0,0.0,0.0,24011.5229691281,True,5
