sample_size,perspective,scenario,independent_seeds,first_preference_rank_count,preference_rank_min,preference_rank_max,mean_net_benefit_eur_mean,mean_net_benefit_eur_min,mean_net_benefit_eur_max,mean_net_benefit_eur_std,probability_positive_mean,probability_positive_min,probability_positive_max,probability_positive_std,p10_net_benefit_eur_mean,p10_net_benefit_eur_min,p10_net_benefit_eur_max,p10_net_benefit_eur_std,worst_decile_mean_eur_mean,worst_decile_mean_eur_min,worst_decile_mean_eur_max,worst_decile_mean_eur_std,p95_regret_eur_mean,p95_regret_eur_min,p95_regret_eur_max,p95_regret_eur_std
1000,tenant,Envelope retrofit,5,0,3,3,377062.63627205667,371896.98700948554,381426.82234748517,3887.127510590559,1.0,1.0,1.0,0.0,222321.03207124193,215765.64631676333,226502.5278665296,4066.7418435095015,183991.84836218442,182301.3263325634,186267.2506155361,1600.2963871955478,1631902.7826383722,1559641.7760974283,1682932.6596648123,49251.921548179045
1000,tenant,Reference: no additional intervention,5,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2270131.3486817866,2170042.7969339234,2341355.8226629035,68418.9576630042
2500,combined_private,Deep renovation + PV,5,0,4,4,-678277.3518003365,-687559.0247446276,-671495.4556912082,7482.820076142851,0.11743999999999999,0.1136,0.12,0.0026168683574073763,-1376081.2478467363,-1404468.542108155,-1359645.0395301378,20152.93147374224,-1620883.205010378,-1642650.9353978797,-1598393.9661066981,19187.024174752976,1563654.1404210946,1521652.2784145405,1605250.1237012434,29919.416458696214
2500,combined_private,Envelope + heat pump,5,0,3,3,-93266.01817141306,-97296.90430756971,-89134.79751426783,3498.913944864581,0.34504,0.338,0.3528,0.006551946275726015,-471903.22030806076,-486893.35724128695,-460153.64200479747,9931.077026289686,-591215.6958584063,-598374.282354232,-578747.1854170526,8345.38184697229,561920.3172161554,541590.0004733889,573810.982272515,12213.359715089642
2500,combined_private,Envelope retrofit,5,5,1,1,27630.138415195303,26159.628912870445,28628.97675445125,1073.5055099878803,0.5332,0.5248,0.5436,0.006794115100585182,-158996.90320935243,-161826.27806097225,-155300.8739758914,2789.224265077826,-214578.05491786878,-217173.39472261653,-209619.33708644437,2901.435219497171,248108.2154172956,240208.63156169804,253951.01356947178,5067.087879219652
2500,combined_private,Reference: no additional intervention,5,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484420.24166179076,455554.1239979185,500152.70683042845,17628.94147410252
2500,owner,Deep renovation + PV,5,0,3,3,-2006881.4304067525,-2019965.8388849797,-1994456.219887252,10732.620440499233,0.0,0.0,0.0,0.0,-2463671.8453931147,-2483265.5773729263,-2441600.915994149,18301.778019837962,-2667645.7021177066,-2688004.304010615,-2639998.3399280272,18473.920046402916,2610870.975411425,2573109.068577939,2648176.31428355,27135.102272386488
2500,owner,Envelope + heat pump,5,0,3,3,-844208.4650337419,-850443.3538261468,-838688.5715015079,4810.041337638797,0.0,0.0,0.0,0.0,-1047794.9067392133,-1054495.579829358,-1043063.700603425,5944.973102241966,-1151012.4058561204,-1158310.3497682186,-1140259.5361767968,7407.971269431287,1124370.6036236507,1112196.6315599908,1136495.1637316355,9473.89564297769
2500,owner,Envelope retrofit,5,0,2,2,-346914.21891452273,-348765.7776079772,-344561.3036655986,1869.918401671858,0.0,0.0,0.0,0.0,-447301.9146430013,-451860.33802546124,-443777.7944055829,3463.1664575371065,-489619.0467482183,-493655.42037467216,-486750.39274199505,2723.135156610862,478767.6321790529,474700.7285738701,483082.4673323546,4040.076087565412
2500,owner,Reference: no additional intervention,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,tenant,Deep renovation + PV,5,5,1,1,1328604.078606416,1322960.764196044,1333173.1938861678,4467.169482505658,1.0,1.0,1.0,0.0,772518.0071159229,763430.1541309908,782660.1225170615,7031.852583107118,646165.9324994836,630408.6217603516,658857.4893506975,11849.444182366415,0.0,0.0,0.0,0.0
2500,tenant,Envelope + heat pump,5,5,1,1,750942.4468623288,747696.9735028967,753547.9519954026,2574.7362809902925,1.0,1.0,1.0,0.0,428092.256028119,423439.3359328615,433998.507002268,4080.192717970854,355760.5411957099,346619.73165137816,363405.68551467976,6989.00850411048,970600.8599093877,960044.3499415905,998735.4730476984,16194.35237115674
2500,tenant,Envelope retrofit,5,0,3,3,374544.35732971807,372960.66168209346,375829.4620892334,1252.923960062542,1.0,1.0,1.0,0.0,218720.09917044747,216055.89120790717,221924.00637627582,2133.015733450721,183375.706998171,178966.20304527535,186896.42215867178,3302.415838923996,1626796.846051326,1609156.4966708228,1674414.8914622082,27583.663643891916
2500,tenant,Reference: no additional intervention,5,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262908.8560750894,2238555.898580609,2329232.9297782704,38400.827427625154
5000,combined_private,Deep renovation + PV,5,0,4,4,-676543.6263541321,-684446.592646212,-664768.1325460555,8219.51021209177,0.11976,0.1148,0.1238,0.003272308053958243,-1369987.8936029135,-1387492.758982002,-1361792.680696964,10703.399735894342,-1619158.4170627757,-1630034.9930589313,-1606833.1494182663,8450.490353660718,1563154.6690073658,1553012.2714057567,1586719.0095247729,13622.579655057301
5000,combined_private,Envelope + heat pump,5,0,3,3,-93017.13523540234,-98193.0080995426,-86819.35242580104,4308.199096924946,0.34435999999999994,0.3356,0.3512,0.006168306088384397,-468814.6889647478,-477097.2159601697,-463478.01185314247,5580.071062358538,-590610.7055159921,-592604.2565245185,-584602.7636363616,3400.520023599795,562362.626349216,558477.8810177237,571077.745570834,4982.200124207084
5000,combined_private,Envelope retrofit,5,5,1,1,27670.462379362394,25250.410138071322,30843.878244526033,2103.9790585337073,0.53308,0.5236,0.5452,0.007950597461826397,-157181.1832879692,-161404.6771771262,-153233.69823812015,3098.458628415084,-213981.06531959685,-214915.5243702802,-213051.65463282316,675.8478596036817,247622.15456254772,243501.7370050179,250800.47267367807,2867.42869035202
5000,combined_private,Reference: no additional intervention,5,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484476.82434184186,460034.07445988746,496769.46510417544,14188.623001098256
5000,owner,Deep renovation + PV,5,0,3,3,-2005158.0385141983,-2018342.6211223686,-1997486.4043797334,8128.41102580647,0.0,0.0,0.0,0.0,-2460416.680453687,-2479701.2882560235,-2445676.112462183,12701.143118879005,-2665796.3043603925,-2686094.5863129618,-2645394.1368707526,16859.6220916767,2614774.859736605,2585546.1099898596,2651326.3967374987,25147.473277290694
5000,owner,Envelope + heat pump,5,0,3,3,-844001.6846303174,-849790.3801554489,-839846.1148883603,3836.3160017712908,0.0,0.0,0.0,0.0,-1048448.7711880563,-1055088.290987829,-1043754.4445413268,4926.4148086765,-1149142.0137375041,-1158219.0679330362,-1140474.090447308,8612.93636766356,1122569.9307894036,1113592.9686019723,1134829.1445460415,8166.0553667391505
5000,owner,Envelope retrofit,5,0,2,2,-346872.1291103496,-349621.05193828256,-345183.5349245061,1777.7527292953316,0.0,0.0,0.0,0.0,-446794.3224159371,-451319.679861971,-443381.59415034344,3324.866742537736,-489603.343149149,-493278.39788969693,-487359.21533905895,2368.984504232895,479527.1538966154,475734.71943302074,483063.58894028247,2790.032578396659
5000,owner,Reference: no additional intervention,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,tenant,Deep renovation + PV,5,5,1,1,1328614.4121600664,1321907.7724136307,1335032.1593046738,6051.136092130225,1.0,1.0,1.0,0.0,768956.1658314425,766375.2034395963,771877.6255995998,2448.8549193994795,642497.942259318,631967.1429900654,646951.8788703129,6095.497272286773,0.0,0.0,0.0,0.0
5000,tenant,Envelope + heat pump,5,5,1,1,750984.5493949151,747131.0273747816,754710.739450556,3509.318627406296,1.0,1.0,1.0,0.0,427049.0891915392,425239.0726208558,429493.34344533604,1772.0423622482786,353754.84684150724,347671.4427196009,356194.19990731357,3515.9965804294784,972825.7219492309,958701.3454187426,988207.094103114,12043.456515072066
5000,tenant,Envelope retrofit,5,0,3,3,374542.59148971195,372660.0447435745,376339.0578886835,1694.3959319262422,1.0,1.0,1.0,0.0,217843.44952217807,217163.17038283753,218760.17039978984,670.2261320242644,182331.94015512668,179382.60223536665,183597.57592564245,1708.1343944715384,1629045.7062314409,1604549.578429628,1656051.2417207423,21294.059999832712
5000,tenant,Reference: no additional intervention,5,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2266290.918877404,2232380.9347686623,2303828.350383799,29550.771611201133
